#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Packetexchange_4,454,56380,35,6576
Palmetto_1,159,28636,11,6164
Palmetto_2,233,39212,33,6360
Palmetto_3,232,55796,23,6460
Palmetto_4,576,69032,169,7216
Peer1_1,275,24776,56,6164
Peer1_2,216,30760,13,6164
Peer1_3,215,54868,13,6360
Peer1_4,314,55648,23,6436
Pern_1,308,26140,12,5976
Pern_2,336,27704,8,6096
Pern_3,221,47428,15,6428
Pern_4,224,56324,25,6616
PionierL1_1,86,27876,11,6164
PionierL1_2,186,41048,11,6120
PionierL1_3,152,52960,20,6412
PionierL1_4,410,61172,43,6596
PionierL3_1,184,28696,12,6040
PionierL3_2,354,47356,42,6164
PionierL3_3,351,55712,16,6384
PionierL3_4,502,56776,30,6488
Psinet_1,245,25752,24,5976
Psinet_2,285,33944,15,6108
Psinet_3,392,55636,14,6392
Psinet_4,354,59568,30,6592
Quest_1,292,23752,12,6164
Quest_2,191,28076,11,6164
Quest_3,157,44344,14,6360
Quest_4,199,55600,14,6368
RedBestel_1,180,55280,11,6360
RedBestel_2,284,56916,20,6536
RedBestel_3,761,69040,53,6988
RedBestel_4,7206,80172,244,8124
Rediris_1,56,25036,10,5900
Rediris_2,68,25364,10,6056
